index	dtw_type	subject_1	subject_2	condition_1	condition_2	obstacles_1	obstacles_2	dtw_distance	distance_matrix_key
0	within	33	33	h	k	0	0	105.33472440277988	s33-s33_ch-ck_o0-o0
1	within	33	33	h	s	0	0	86.44492729892686	s33-s33_ch-cs_o0-o0
2	within	33	33	k	s	0	0	88.13320166025272	s33-s33_ck-cs_o0-o0
3	within	33	33	h	k	1	1	91.91604609420546	s33-s33_ch-ck_o1-o1
4	within	33	33	h	s	1	1	113.1065666102798	s33-s33_ch-cs_o1-o1
5	within	33	33	k	s	1	1	100.73436913952261	s33-s33_ck-cs_o1-o1
6	within	33	33	h	h	0	1	92.8997767696717	s33-s33_ch-ch_o0-o1
7	within	33	33	k	k	0	1	88.95220278105414	s33-s33_ck-ck_o0-o1
8	within	33	33	s	s	0	1	113.68128954217093	s33-s33_cs-cs_o0-o1
9	within	34	34	h	k	0	0	127.51831295890786	s34-s34_ch-ck_o0-o0
10	within	34	34	h	s	0	0	134.91793707531664	s34-s34_ch-cs_o0-o0
11	within	34	34	k	s	0	0	135.94995054746568	s34-s34_ck-cs_o0-o0
12	within	34	34	h	k	1	1	138.5693572344677	s34-s34_ch-ck_o1-o1
13	within	34	34	h	s	1	1	171.8982873538489	s34-s34_ch-cs_o1-o1
14	within	34	34	k	s	1	1	156.36972696535182	s34-s34_ck-cs_o1-o1
15	within	34	34	h	h	0	1	125.10509085074163	s34-s34_ch-ch_o0-o1
16	within	34	34	k	k	0	1	130.45804080239319	s34-s34_ck-ck_o0-o1
17	within	34	34	s	s	0	1	157.64896922397304	s34-s34_cs-cs_o0-o1
18	within	35	35	h	k	0	0	100.8946149418279	s35-s35_ch-ck_o0-o0
19	within	35	35	h	s	0	0	110.55155168249405	s35-s35_ch-cs_o0-o0
20	within	35	35	k	s	0	0	106.37843729158054	s35-s35_ck-cs_o0-o0
21	within	35	35	h	k	1	1	109.90113403819616	s35-s35_ch-ck_o1-o1
22	within	35	35	h	s	1	1	103.5343035789082	s35-s35_ch-cs_o1-o1
23	within	35	35	k	s	1	1	103.59180784855715	s35-s35_ck-cs_o1-o1
24	within	35	35	h	h	0	1	107.47443713358216	s35-s35_ch-ch_o0-o1
25	within	35	35	k	k	0	1	93.84026084568475	s35-s35_ck-ck_o0-o1
26	within	35	35	s	s	0	1	107.1576451530926	s35-s35_cs-cs_o0-o1
27	within	38	38	h	k	0	0	84.3857587389616	s38-s38_ch-ck_o0-o0
28	within	38	38	h	s	0	0	113.40778362544624	s38-s38_ch-cs_o0-o0
29	within	38	38	k	s	0	0	109.53273879941817	s38-s38_ck-cs_o0-o0
30	within	38	38	h	k	1	1	115.55378915177894	s38-s38_ch-ck_o1-o1
31	within	38	38	h	s	1	1	93.87234402953742	s38-s38_ch-cs_o1-o1
32	within	38	38	k	s	1	1	108.33624002098827	s38-s38_ck-cs_o1-o1
33	within	38	38	h	h	0	1	76.1932111626029	s38-s38_ch-ch_o0-o1
34	within	38	38	k	k	0	1	99.21930192355248	s38-s38_ck-ck_o0-o1
35	within	38	38	s	s	0	1	122.05891113699948	s38-s38_cs-cs_o0-o1
36	within	39	39	h	k	0	0	80.57884483269676	s39-s39_ch-ck_o0-o0
37	within	39	39	h	s	0	0	92.39710168518698	s39-s39_ch-cs_o0-o0
38	within	39	39	k	s	0	0	88.37909074175005	s39-s39_ck-cs_o0-o0
39	within	39	39	h	k	1	1	122.62530280221374	s39-s39_ch-ck_o1-o1
40	within	39	39	h	s	1	1	115.45837039145715	s39-s39_ch-cs_o1-o1
41	within	39	39	k	s	1	1	92.00945653188133	s39-s39_ck-cs_o1-o1
42	within	39	39	h	h	0	1	120.25735765816627	s39-s39_ch-ch_o0-o1
43	within	39	39	k	k	0	1	94.54104830675695	s39-s39_ck-ck_o0-o1
44	within	39	39	s	s	0	1	109.63564921418923	s39-s39_cs-cs_o0-o1
45	within	40	40	h	k	0	0	64.39981902119554	s40-s40_ch-ck_o0-o0
46	within	40	40	h	s	0	0	83.00487064297977	s40-s40_ch-cs_o0-o0
47	within	40	40	k	s	0	0	86.45630028409514	s40-s40_ck-cs_o0-o0
48	within	40	40	h	k	1	1	132.78141820708788	s40-s40_ch-ck_o1-o1
49	within	40	40	h	s	1	1	124.48565170953121	s40-s40_ch-cs_o1-o1
50	within	40	40	k	s	1	1	112.94759749787079	s40-s40_ck-cs_o1-o1
51	within	40	40	h	h	0	1	100.41085611957992	s40-s40_ch-ch_o0-o1
52	within	40	40	k	k	0	1	102.20929997785247	s40-s40_ck-ck_o0-o1
53	within	40	40	s	s	0	1	111.70963244461096	s40-s40_cs-cs_o0-o1
54	within	43	43	h	k	0	0	145.9233589240183	s43-s43_ch-ck_o0-o0
55	within	43	43	h	s	0	0	128.40110960664967	s43-s43_ch-cs_o0-o0
56	within	43	43	k	s	0	0	120.95334719328946	s43-s43_ck-cs_o0-o0
57	within	43	43	h	k	1	1	95.62040667088604	s43-s43_ch-ck_o1-o1
58	within	43	43	h	s	1	1	105.30828108869426	s43-s43_ch-cs_o1-o1
59	within	43	43	k	s	1	1	103.81458496014085	s43-s43_ck-cs_o1-o1
60	within	43	43	h	h	0	1	126.01775697016149	s43-s43_ch-ch_o0-o1
61	within	43	43	k	k	0	1	109.7926894201956	s43-s43_ck-ck_o0-o1
62	within	43	43	s	s	0	1	101.97129757383873	s43-s43_cs-cs_o0-o1
63	within	46	46	h	k	0	0	93.78041736054782	s46-s46_ch-ck_o0-o0
64	within	46	46	h	s	0	0	131.61607599313777	s46-s46_ch-cs_o0-o0
65	within	46	46	k	s	0	0	154.92509473297022	s46-s46_ck-cs_o0-o0
66	within	46	46	h	k	1	1	101.6084258489968	s46-s46_ch-ck_o1-o1
67	within	46	46	h	s	1	1	160.40922905101704	s46-s46_ch-cs_o1-o1
68	within	46	46	k	s	1	1	151.5435670465484	s46-s46_ck-cs_o1-o1
69	within	46	46	h	h	0	1	98.86372963902343	s46-s46_ch-ch_o0-o1
70	within	46	46	k	k	0	1	95.99135977416621	s46-s46_ck-ck_o0-o1
71	within	46	46	s	s	0	1	115.95775573586033	s46-s46_cs-cs_o0-o1
72	within	47	47	h	k	0	0	77.79884931153285	s47-s47_ch-ck_o0-o0
73	within	47	47	h	s	0	0	74.01460645390385	s47-s47_ch-cs_o0-o0
74	within	47	47	k	s	0	0	74.75900850932798	s47-s47_ck-cs_o0-o0
75	within	47	47	h	k	1	1	81.96707907499558	s47-s47_ch-ck_o1-o1
76	within	47	47	h	s	1	1	82.88463517248256	s47-s47_ch-cs_o1-o1
77	within	47	47	k	s	1	1	85.18251860299799	s47-s47_ck-cs_o1-o1
78	within	47	47	h	h	0	1	74.85614070749413	s47-s47_ch-ch_o0-o1
79	within	47	47	k	k	0	1	79.92895083128711	s47-s47_ck-ck_o0-o1
80	within	47	47	s	s	0	1	77.53283617001857	s47-s47_cs-cs_o0-o1
81	within	53	53	h	k	0	0	73.35055309243815	s53-s53_ch-ck_o0-o0
82	within	53	53	h	s	0	0	80.9435422618962	s53-s53_ch-cs_o0-o0
83	within	53	53	k	s	0	0	66.23532608809413	s53-s53_ck-cs_o0-o0
84	within	53	53	h	k	1	1	93.05510029295637	s53-s53_ch-ck_o1-o1
85	within	53	53	h	s	1	1	70.12159986652823	s53-s53_ch-cs_o1-o1
86	within	53	53	k	s	1	1	89.29233508414494	s53-s53_ck-cs_o1-o1
87	within	53	53	h	h	0	1	68.89139399997154	s53-s53_ch-ch_o0-o1
88	within	53	53	k	k	0	1	75.4402420326925	s53-s53_ck-ck_o0-o1
89	within	53	53	s	s	0	1	63.44048998805538	s53-s53_cs-cs_o0-o1
